hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
83, 0.00000, 9.16143, 27.7061, 12.5784, 39.9455, 9.33939, 53.3949, 0, 0
83, 1800.00000, 5.25844, 67.4886, 6.78085, 59.7204, 6.82949, 74.2751, 0, 0
84, 0.00000, 8.42101, 41.7383, 8.44726, 56.0869, 6.54505, 49.1305, 0, 0
84, 1800.00000, 7.56535, 40.2316, 9.93448, 59.9519, 6.42459, 70.3717, 0, 0
85, 0.00000, 2.70246, 104.647, 5.98236, 85.323, 6.09145, 119.489, 0, 0
85, 1800.00000, 3.73726, 150.123, 5.90489, 89.4417, 8.44642, 127.094, 0, 0
86, 0.00000, 3.33768, 144.279, 6.36941, 58.9486, 9.30809, 107.199, 0, 0
86, 1800.00000, 4.76638, 43.852, 8.80831, 36.0925, 8.27643, 63.9024, 0, 0
87, 0.00000, 8.53191, 22.2174, 13.0002, 22.8653, 11.3426, 42.569, 0, 0
87, 1800.00000, 17.7291, 17.1985, 18.5939, 21.8178, 16.8966, 22.1149, 0, 0
88, 0.00000, 20.1723, 13.4919, 22.5556, 17.5871, 20.1363, 21.5541, 0, 0
88, 1800.00000, 24.6653, 8.97817, 26.1384, 18.2886, 21.7897, 17.1613, 0, 0
89, 0.00000, 35.446, 9.02823, 37.5928, 19.2306, 30.8167, 17.7918, 0, 0
89, 1800.00000, 43.1902, 7.31783, 45.2658, 22.7039, 33.6461, 18.3543, 0, 0
90, 0.00000, 41.5897, 9.372, 43.0114, 21.6116, 34.2857, 17.7164, 0, 0
90, 1800.00000, 43.0521, 7.37761, 46.5166, 22.4864, 34.3603, 20.3545, 0, 0
91, 0.00000, 44.213, 7.30637, 46.8499, 23.1729, 34.315, 19.4014, 0, 0
91, 1800.00000, 37.5069, 7.4037, 38.0326, 25.4089, 27.0896, 17.5129, 0, 0
92, 0.00000, 36.1871, 9.86007, 36.0558, 24.1119, 28.0958, 16.7863, 0, 0
92, 1800.00000, 34.067, 8.66409, 33.6115, 25.4839, 24.9219, 16.1529, 0, 0
93, 0.00000, 34.748, 13.2567, 30.747, 23.866, 27.6216, 11.0147, 0, 0
93, 1800.00000, 38.1007, 10.6554, 34.7445, 24.5426, 28.7169, 11.4594, 0, 0
94, 0.00000, 27.046, 13.099, 25.5399, 22.6346, 22.4659, 14.4067, 0, 0
94, 1800.00000, 21.2214, 10.9463, 20.349, 25.019, 16.2442, 15.1719, 0, 0
95, 0.00000, 16.1804, 15.7124, 14.2872, 25.7277, 12.9902, 13.1353, 0, 0
