hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
80, 0.00000, 29.4299, 28.5104, 14.5827, 33.2431, 24.3131, -1.94002, 0, 0
80, 1800.00000, 27.3037, 26.4672, 14.7996, 42.6782, 19.5466, -1.89045, 0, 0
81, 0.00000, 24.0376, 31.3229, 14.2386, 34.3161, 20.2094, 7.55806, 0, 0
81, 1800.00000, 23.3417, 30.8389, 16.8432, 29.0926, 21.3708, 14.8093, 0, 0
82, 0.00000, 19.7217, 31.5793, 14.7531, 41.4003, 15.3038, 19.3758, 0, 0
82, 1800.00000, 12.5257, 51.5765, 7.338, 37.7051, 12.638, 25.4607, 0, 0
83, 0.00000, 11.1914, 33.8478, 10.9396, 47.8901, 8.64503, 39.3402, 0, 0
83, 1800.00000, 8.27955, 75.9269, 4.33087, 81.476, 6.75467, 47.3588, 0, 0
84, 0.00000, 11.7963, 60.5958, 4.34656, 77.2606, 9.13999, 19.6328, 0, 0
84, 1800.00000, 10.9886, 54.8912, 7.11277, 80.6384, 6.49488, 32.964, 0, 0
85, 0.00000, 5.78042, 88.0076, 5.81651, 117.712, 3.03172, 103.507, 0, 0
85, 1800.00000, 6.13789, 111.911, 6.16674, 128.28, 4.57329, 120.423, 0, 0
86, 0.00000, 4.80343, 96.9663, 5.92805, 93.0347, 5.76101, 104.539, 0, 0
86, 1800.00000, 6.67468, 44.8466, 7.66797, 47.1109, 6.97882, 53.1442, 0, 0
87, 0.00000, 10.4262, 27.1984, 11.3439, 28.8825, 10.6366, 32.3662, 0, 0
87, 1800.00000, 19.0974, 23.902, 16.0814, 22.2922, 18.2047, 14.9043, 0, 0
88, 0.00000, 19.2051, 18.9825, 21.4738, 12.8291, 22.2763, 20.7972, 0, 0
88, 1800.00000, 22.8463, 17.3651, 23.9615, 10.8316, 25.6878, 16.1695, 0, 0
89, 0.00000, 36.8409, 15.538, 33.3027, 18.634, 33.5751, 11.7679, 0, 0
89, 1800.00000, 47.8711, 13.3631, 39.5022, 26.909, 35.3498, 7.58831, 0, 0
90, 0.00000, 43.4934, 13.446, 39.5654, 22.6682, 35.8124, 12.3897, 0, 0
90, 1800.00000, 48.18, 8.93964, 44.3689, 28.1684, 32.4753, 12.3091, 0, 0
91, 0.00000, 48.9636, 10.0199, 43.8088, 28.158, 33.5327, 10.8921, 0, 0
91, 1800.00000, 42.5557, 13.9015, 32.7083, 31.5141, 28.759, 4.10201, 0, 0
92, 0.00000, 39.2612, 15.4136, 31.7776, 27.0532, 29.9182, 8.04768, 0, 0
92, 1800.00000, 37.7616, 15.8112, 28.4746, 29.7236, 27.332, 4.54479, 0, 0
93, 0.00000, 35.0683, 19.481, 27.2359, 21.2597, 31.0948, 7.63494, 0, 0
93, 1800.00000, 38.704, 16.5853, 30.8653, 23.077, 32.1171, 7.23347, 0, 0
94, 0.00000, 26.9329, 18.1549, 23.445, 20.0328, 24.6677, 11.9872, 0, 0
94, 1800.00000, 22.8685, 18.4667, 17.1114, 26.8442, 18.174, 6.07644, 0, 0
95, 0.00000, 17.5574, 25.7773, 11.0528, 25.5598, 15.4234, 4.24586, 0, 0
95, 1800.00000, 15.0526, 28.1506, 9.50235, 21.1634, 14.3242, 5.78, 0, 0
96, 0.00000, 11.7076, 24.6911, 9.52382, 17.594, 11.8749, 12.315, 0, 0
96, 1800.00000, 10.9092, 23.1896, 9.73907, 16.4806, 11.3952, 14.9064, 0, 0
97, 0.00000, 11.909, 30.9537, 5.71579, 26.34, 10.7808, -0.428088, 0, 0
97, 1800.00000, 9.93647, 30.3943, 5.01945, 25.4604, 9.03997, 0.589384, 0, 0
98, 0.00000, 8.84711, 22.6636, 5.7791, 29.4977, 7.09897, 3.33477, 0, 0
98, 1800.00000, 8.83222, 24.198, 5.5322, 28.6964, 7.30033, 2.85461, 0, 0
99, 0.00000, 11.7839, 29.0244, 5.97303, 28.5698, 10.2572, -0.534919, 0, 0
99, 1800.00000, 10.4452, 25.5711, 5.88016, 31.3209, 8.48325, -0.187528, 0, 0
100, 0.00000, 10.7616, 21.2991, 6.90754, 33.0534, 8.03561, 1.20599, 0, 0
100, 1800.00000, 10.7809, 25.8159, 6.38072, 28.2326, 9.12402, 2.00552, 0, 0
101, 0.00000, 13.2787, 24.3144, 8.77682, 26.0446, 11.4397, 5.05821, 0, 0
101, 1800.00000, 11.0961, 19.9425, 8.65997, 25.5782, 9.28382, 9.25644, 0, 0
102, 0.00000, 14.0456, 15.3496, 10.9408, 32.3826, 9.6006, 6.35613, 0, 0
102, 1800.00000, 22.95, 28.8205, 11.25, 30.7595, 19.5132, -1.87916, 0, 0
103, 0.00000, 27.7517, 30.16, 11.4531, 36.4343, 22.9461, -6.10074, 0, 0
103, 1800.00000, 32.6322, 27.1737, 16.2788, 34.2615, 26.2877, -3.19693, 0, 0
104, 0.00000, 29.6918, 32.6904, 13.2438, 27.9356, 26.8913, -0.863001, 0, 0
104, 1800.00000, 30.5546, 31.3861, 14.8334, 28.3987, 27.2674, 0.375045, 0, 0
105, 0.00000, 24.2999, 27.2031, 17.8524, 22.578, 23.1908, 11.2727, 0, 0
105, 1800.00000, 15.6513, 32.3146, 11.3246, 25.2195, 15.341, 15.1512, 0, 0
106, 0.00000, 12.9569, 39.7465, 7.39556, 26.7393, 12.9094, 12.9553, 0, 0
106, 1800.00000, 20.2287, 33.2011, 11.1854, 34.0187, 17.4034, 6.70712, 0, 0
107, 0.00000, 15.1116, 33.7626, 9.90256, 36.7357, 12.7933, 14.2635, 0, 0
107, 1800.00000, 9.20985, 50.9906, 5.18106, 51.4181, 7.95997, 25.1269, 0, 0
108, 0.00000, 8.84535, 46.6538, 6.55824, 46.6415, 7.95478, 32.2196, 0, 0
108, 1800.00000, 13.2652, 26.1168, 11.9479, 36.878, 10.5743, 24.9983, 0, 0
109, 0.00000, 16.6191, 40.0692, 7.77791, 43.2392, 13.9817, 7.81943, 0, 0
109, 1800.00000, 14.4213, 39.8284, 7.34791, 43.3777, 12.041, 10.3978, 0, 0
110, 0.00000, 11.9484, 34.1242, 10.1213, 30.1671, 11.7914, 24.5832, 0, 0
110, 1800.00000, 11.3353, 22.129, 14.4838, 19.6247, 13.6596, 32.2471, 0, 0
111, 0.00000, 12.2784, 31.487, 15.3648, 4.68964, 19.1161, 24.8085, 0, 0
111, 1800.00000, 23.3021, 30.4757, 17.6761, 10.0457, 26.8074, 10.9985, 0, 0
112, 0.00000, 29.5485, 26.5059, 20.4542, 15.2809, 30.0552, 6.60766, 0, 0
112, 1800.00000, 27.4964, 20.211, 24.4008, 14.5265, 28.2689, 12.0709, 0, 0
113, 0.00000, 37.1414, 12.6167, 33.8972, 14.8004, 34.4691, 8.98022, 0, 0
113, 1800.00000, 51.6327, 14.601, 44.839, 17.4533, 46.5567, 8.6556, 0, 0
114, 0.00000, 58.7404, 18.8912, 42.4332, 19.7941, 51.9432, 3.44224, 0, 0
114, 1800.00000, 53.9561, 19.8097, 42.7251, 15.4216, 52.4192, 7.12171, 0, 0
115, 0.00000, 53.3067, 14.6554, 42.8823, 20.2211, 45.0081, 5.53961, 0, 0
115, 1800.00000, 40.7004, 17.7162, 35.1619, 14.006, 40.3274, 9.13676, 0, 0
116, 0.00000, 37.85, 18.963, 31.7673, 16.4442, 36.513, 9.49251, 0, 0
116, 1800.00000, 45.502, 16.881, 31.8987, 26.5796, 35.175, 1.21303, 0, 0
117, 0.00000, 45.1392, 15.184, 35.2412, 22.7758, 36.6271, 4.93733, 0, 0
117, 1800.00000, 41.0258, 14.7147, 28.7927, 27.3743, 30.2284, -0.726257, 0, 0
118, 0.00000, 34.4602, 12.8029, 26.9201, 23.7493, 26.4115, 3.22302, 0, 0
118, 1800.00000, 37.1465, 17.7949, 24.606, 23.0227, 30.5448, -1.00586, 0, 0
119, 0.00000, 33.3722, 12.9292, 24.0414, 25.2736, 24.7417, -1.08678, 0, 0
119, 1800.00000, 25.6801, 9.76775, 23.4041, 19.1138, 21.1059, 8.8605, 0, 0
120, 0.00000, 19.3571, 17.0408, 15.9999, 17.9891, 17.6728, 7.99179, 0, 0
120, 1800.00000, 15.8721, 23.0109, 12.9762, 12.8838, 16.7435, 9.79099, 0, 0
121, 0.00000, 10.9016, 17.5867, 9.05821, 19.0213, 9.89585, 8.94869, 0, 0
121, 1800.00000, 9.13517, 22.2795, 6.26376, 27.1855, 7.56499, 5.05775, 0, 0
122, 0.00000, 8.38312, 23.2379, 5.88081, 25.1853, 7.26016, 6.66305, 0, 0
122, 1800.00000, 9.14838, 28.027, 5.2247, 25.3152, 8.1976, 2.52942, 0, 0
123, 0.00000, 8.20603, 25.8314, 5.22944, 24.8645, 7.28403, 4.71667, 0, 0
123, 1800.00000, 8.33666, 23.7453, 5.89024, 24.0724, 7.39095, 7.21409, 0, 0
124, 0.00000, 9.0156, 20.7514, 7.43482, 22.1853, 8.16468, 11.7418, 0, 0
124, 1800.00000, 9.30868, 24.0857, 5.85099, 28.7446, 7.67943, 2.90246, 0, 0
125, 0.00000, 9.92171, 18.1047, 8.18698, 25.6401, 8.15576, 10.8722, 0, 0
125, 1800.00000, 13.4529, 19.7458, 10.4459, 26.0856, 11.1189, 8.94517, 0, 0
126, 0.00000, 14.431, 22.7122, 10.4131, 24.8351, 12.5293, 7.46227, 0, 0
126, 1800.00000, 18.9633, 23.86, 13.8555, 22.6037, 17.2946, 8.49015, 0, 0
127, 0.00000, 27.926, 31.8725, 13.5363, 23.5337, 26.1775, 0.586567, 0, 0
127, 1800.00000, 27.3929, 29.8102, 15.2878, 22.6693, 25.6856, 3.06558, 0, 0
128, 0.00000, 23.6985, 27.457, 12.829, 29.6586, 20.0711, 0.211786, 0, 0
128, 1800.00000, 26.074, 29.8973, 14.1516, 26.2695, 23.5206, 2.51748, 0, 0
