hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
88, 1800.00000, 22.7803, 6.04268, 27.9408, 15.459, 22.1616, 22.9379, 0, 0
89, 0.00000, 32.9915, 10.2236, 37.8161, 15.4286, 32.8557, 20.3444, 0, 0
89, 1800.00000, 40.191, 10.9511, 43.5724, 18.1199, 37.387, 19.2165, 0, 0
90, 0.00000, 39.743, 10.8645, 42.5573, 18.8994, 36.1464, 18.9319, 0, 0
90, 1800.00000, 42.2025, 11.2437, 43.9052, 20.5021, 36.9351, 18.3001, 0, 0
91, 0.00000, 42.7649, 10.8581, 44.5626, 20.6068, 37.1241, 18.2881, 0, 0
91, 1800.00000, 34.6755, 11.9067, 35.9974, 20.1495, 30.8739, 18.2649, 0, 0
92, 0.00000, 33.9339, 12.635, 35.1025, 19.923, 30.6703, 18.2604, 0, 0
92, 1800.00000, 31.3153, 12.2224, 32.4044, 20.0363, 28.0466, 18.1525, 0, 0
93, 0.00000, 32.5187, 13.3003, 31.4617, 20.1286, 28.6571, 14.8396, 0, 0
93, 1800.00000, 35.753, 10.9968, 35.177, 20.8993, 30.0461, 14.982, 0, 0
94, 0.00000, 25.6505, 12.8, 26.1428, 19.9423, 23.0595, 17.4837, 0, 0
94, 1800.00000, 19.4813, 13.4007, 20.0813, 19.6348, 17.8981, 18.2431, 0, 0
95, 0.00000, 14.4101, 18.2162, 14.4071, 18.2602, 14.3991, 18.2279, 0, 0
95, 1800.00000, 12.7416, 18.2307, 12.7415, 18.2307, 12.7415, 18.2307, 0, 0
96, 0.00000, 10.9706, 18.21, 10.9776, 18.2179, 10.9728, 18.2454, 0, 0
96, 1800.00000, 10.6495, 18.2145, 10.6495, 18.2145, 10.6495, 18.2145, 0, 0
97, 0.00000, 9.12169, 18.2044, 9.12865, 18.214, 9.12385, 18.2471, 0, 0
97, 1800.00000, 7.74226, 18.2515, 7.74012, 18.2023, 7.74694, 18.2131, 0, 0
98, 0.00000, 7.10394, 18.2133, 7.10394, 18.2133, 7.10394, 18.2133, 0, 0
98, 1800.00000, 7.07409, 18.2137, 7.07409, 18.2137, 7.07409, 18.2137, 0, 0
99, 0.00000, 9.01885, 18.2173, 9.01885, 18.2173, 9.01885, 18.2173, 0, 0
99, 1800.00000, 8.02436, 18.2171, 8.02436, 18.2171, 8.02436, 18.2171, 0, 0
100, 0.00000, 8.34717, 18.2063, 8.35411, 18.2167, 8.34933, 18.2527, 0, 0
100, 1800.00000, 8.55242, 18.2153, 8.55243, 18.2153, 8.55242, 18.2154, 0, 0
