hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
72, 0.00000, 18.2366, 19.6126, 13.7622, 27.6049, 14.6013, 7.61356, 0, 0
72, 1800.00000, 12.3437, 21.406, 9.48626, 24.1236, 10.7627, 9.28236, 0, 0
73, 0.00000, 11.5998, 23.3553, 8.01191, 25.6574, 9.97388, 6.12844, 0, 0
73, 1800.00000, 10.6545, 23.5423, 6.66678, 29.975, 8.58192, 2.23777, 0, 0
74, 0.00000, 13.3198, 25.1884, 7.338, 33.3399, 10.5177, -1.52312, 0, 0
74, 1800.00000, 12.9679, 25.9421, 6.9148, 33.4137, 10.3434, -2.00106, 0, 0
75, 0.00000, 10.5929, 23.8627, 6.28823, 32.1025, 8.32755, 0.252325, 0, 0
75, 1800.00000, 9.5113, 23.4122, 6.15148, 28.607, 7.80372, 3.52649, 0, 0
76, 0.00000, 11.7577, 27.8205, 6.62483, 26.358, 10.3821, 1.91945, 0, 0
76, 1800.00000, 12.3162, 27.8795, 7.04457, 25.5502, 10.9919, 2.46457, 0, 0
77, 0.00000, 9.61501, 22.0638, 6.48682, 28.9376, 7.72729, 4.26279, 0, 0
77, 1800.00000, 13.2287, 16.0606, 9.20135, 38.0109, 8.24834, -0.455754, 0, 0
78, 0.00000, 15.2913, 24.4748, 8.16863, 36.9557, 11.4897, -3.88045, 0, 0
78, 1800.00000, 19.0261, 25.2115, 9.74013, 37.7596, 14.3731, -4.81389, 0, 0
79, 0.00000, 24.0232, 29.8093, 10.473, 34.2094, 20.0831, -4.69589, 0, 0
79, 1800.00000, 24.8699, 28.3533, 12.1779, 32.0218, 20.7811, -2.4435, 0, 0
80, 0.00000, 29.4299, 28.5104, 14.5827, 33.2431, 24.3131, -1.94002, 0, 0
80, 1800.00000, 27.3037, 26.4672, 14.7996, 42.6782, 19.5466, -1.89045, 0, 0
81, 0.00000, 24.0376, 31.3229, 14.2386, 34.3161, 20.2094, 7.55806, 0, 0
81, 1800.00000, 23.3417, 30.8389, 16.8432, 29.0926, 21.3708, 14.8093, 0, 0
82, 0.00000, 19.7217, 31.5793, 14.7531, 41.4003, 15.3038, 19.3758, 0, 0
82, 1800.00000, 12.4671, 53.5474, 6.91126, 38.1355, 12.6427, 25.4682, 0, 0
83, 0.00000, 10.4625, 43.4059, 9.1122, 51.448, 8.66161, 39.3675, 0, 0
83, 1800.00000, 8.27955, 75.9271, 4.33085, 81.4758, 6.7547, 47.3589, 0, 0
84, 0.00000, 11.9004, 67.8442, 3.49799, 95.316, 9.15132, 19.6889, 0, 0
84, 1800.00000, 10.9593, 64.0747, 6.14104, 93.1967, 6.50737, 33.0493, 0, 0
85, 0.00000, 5.78043, 88.0077, 5.81651, 117.712, 3.03175, 103.507, 0, 0
85, 1800.00000, 6.13824, 111.91, 6.23222, 128.521, 4.57427, 121.302, 0, 0
86, 0.00000, 4.80688, 96.959, 6.2165, 96.9643, 5.64519, 109.458, 0, 0
86, 1800.00000, 6.68855, 44.8592, 7.46865, 58.5015, 5.61907, 59.0216, 0, 0
87, 0.00000, 10.0347, 31.053, 9.58192, 39.9761, 8.46814, 32.7527, 0, 0
87, 1800.00000, 16.4516, 29.4157, 12.6577, 28.6811, 15.0796, 16.4959, 0, 0
88, 0.00000, 16.9845, 28.7767, 15.0691, 18.0839, 18.6092, 18.5976, 0, 0
88, 1800.00000, 19.0234, 32.2865, 14.3078, 13.2063, 21.5307, 12.9904, 0, 0
89, 0.00000, 32.8535, 23.2571, 24.3053, 23.3099, 29.5209, 8.72637, 0, 0
89, 1800.00000, 42.9754, 19.7469, 31.2585, 29.2589, 33.4282, 5.99661, 0, 0
90, 0.00000, 38.6867, 20.4688, 31.7645, 22.8751, 34.4961, 11.5264, 0, 0
90, 1800.00000, 42.7192, 14.8531, 37.2863, 27.3036, 32.665, 12.3446, 0, 0
91, 0.00000, 43.2726, 16.3836, 36.283, 27.2073, 33.7402, 10.9457, 0, 0
91, 1800.00000, 38.8626, 19.2067, 27.4853, 31.4425, 28.8431, 4.16239, 0, 0
92, 0.00000, 36.1805, 20.4552, 27.3082, 26.2895, 29.9913, 8.08087, 0, 0
92, 1800.00000, 34.6423, 21.0632, 24.0041, 29.3724, 27.3297, 4.68371, 0, 0
93, 0.00000, 29.9303, 25.0264, 22.8862, 19.2541, 29.2938, 10.4579, 0, 0
93, 1800.00000, 31.9501, 24.256, 24.2777, 20.5529, 30.3952, 9.99131, 0, 0
94, 0.00000, 24.3559, 23.85, 20.1561, 18.1332, 24.4123, 12.6611, 0, 0
94, 1800.00000, 21.4415, 22.892, 14.9058, 26.2058, 18.1997, 6.10296, 0, 0
95, 0.00000, 17.5541, 25.7935, 11.0468, 25.5569, 15.4236, 4.2459, 0, 0
95, 1800.00000, 15.0526, 28.1506, 9.50235, 21.1634, 14.3242, 5.78, 0, 0
96, 0.00000, 11.7076, 24.6911, 9.52382, 17.594, 11.8749, 12.315, 0, 0
96, 1800.00000, 10.9092, 23.1896, 9.73907, 16.4806, 11.3952, 14.9064, 0, 0
97, 0.00000, 11.909, 30.9537, 5.71579, 26.34, 10.7808, -0.428088, 0, 0
97, 1800.00000, 9.93647, 30.3943, 5.01945, 25.4604, 9.03997, 0.589384, 0, 0
98, 0.00000, 8.84711, 22.6636, 5.7791, 29.4977, 7.09897, 3.33477, 0, 0
98, 1800.00000, 8.83222, 24.198, 5.5322, 28.6964, 7.30033, 2.85461, 0, 0
