hour, t(sec), S1 (kVA), Ang1, S2 (kVA), Ang2, S3 (kVA), Ang3, S4 (kVA), Ang4
68, 0.00000, 38.4629, 22.7581, 25.8695, 27.8678, 31.7232, 4.64512, 0, 0
68, 1800.00000, 36.0485, 21.8382, 25.4601, 27.1522, 29.8058, 6.07057, 0, 0
69, 0.00000, 32.2547, 21.8767, 23.1085, 26.4533, 27.0111, 6.69481, 0, 0
69, 1800.00000, 31.9385, 26.1902, 18.9591, 27.3903, 27.4534, 2.41569, 0, 0
70, 0.00000, 28.5914, 25.0609, 20.6152, 21.3, 26.871, 8.54815, 0, 0
70, 1800.00000, 28.9267, 21.305, 23.2692, 22.4502, 26.1264, 10.9892, 0, 0
71, 0.00000, 24.13, 18.4342, 21.3796, 22.309, 21.5529, 13.9035, 0, 0
71, 1800.00000, 18.098, 23.664, 14.1381, 20.3727, 17.2503, 10.7327, 0, 0
72, 0.00000, 18.2435, 19.617, 13.7665, 27.5758, 14.6145, 7.60937, 0, 0
72, 1800.00000, 12.3445, 21.4017, 9.48743, 24.1244, 10.7626, 9.28234, 0, 0
73, 0.00000, 11.5998, 23.3553, 8.01191, 25.6574, 9.97388, 6.12844, 0, 0
73, 1800.00000, 10.6545, 23.5423, 6.66678, 29.975, 8.58192, 2.23777, 0, 0
74, 0.00000, 13.3198, 25.1884, 7.338, 33.3399, 10.5177, -1.52312, 0, 0
74, 1800.00000, 12.9679, 25.9421, 6.9148, 33.4137, 10.3434, -2.00106, 0, 0
75, 0.00000, 10.5929, 23.8627, 6.28823, 32.1025, 8.32755, 0.252325, 0, 0
75, 1800.00000, 9.51836, 23.4176, 6.15144, 28.6072, 7.80969, 3.49776, 0, 0
76, 0.00000, 11.7649, 27.8223, 6.62478, 26.3581, 10.3883, 1.89855, 0, 0
76, 1800.00000, 12.3162, 27.8796, 7.04457, 25.5502, 10.9919, 2.46454, 0, 0
77, 0.00000, 9.61501, 22.0638, 6.48682, 28.9376, 7.72729, 4.26279, 0, 0
77, 1800.00000, 13.2287, 16.0606, 9.20135, 38.0109, 8.24834, -0.455754, 0, 0
78, 0.00000, 15.2912, 24.4749, 8.17135, 36.9106, 11.4954, -3.8608, 0, 0
78, 1800.00000, 19.0332, 25.2139, 9.74265, 37.722, 14.3854, -4.81004, 0, 0
79, 0.00000, 24.0232, 29.8093, 10.473, 34.2094, 20.0832, -4.69589, 0, 0
79, 1800.00000, 24.9359, 28.2646, 12.2324, 31.958, 20.8293, -2.47248, 0, 0
80, 0.00000, 30.3857, 27.8135, 15.2087, 32.0709, 25.216, -2.26735, 0, 0
80, 1800.00000, 31.4084, 24.2831, 17.1513, 35.9466, 23.79, -3.08523, 0, 0
81, 0.00000, 30.5761, 24.8677, 19.4724, 26.6371, 26.2367, 4.01196, 0, 0
81, 1800.00000, 31.6969, 22.9844, 23.4723, 23.3882, 28.3484, 8.57594, 0, 0
82, 0.00000, 32.8266, 21.2006, 23.3678, 27.8833, 26.617, 6.00028, 0, 0
82, 1800.00000, 24.2128, 28.2744, 16.4667, 18.3448, 24.1714, 8.04647, 0, 0
83, 0.00000, 24.1701, 19.3369, 19.8046, 24.3396, 20.6796, 11.0386, 0, 0
83, 1800.00000, 21.7358, 24.7423, 15.1911, 22.9787, 19.7777, 7.33623, 0, 0
84, 0.00000, 23.1877, 28.4906, 13.6409, 23.205, 21.444, 3.79001, 0, 0
84, 1800.00000, 25.4544, 24.4835, 16.8604, 25.6459, 22.1068, 5.24042, 0, 0
85, 0.00000, 18.717, 23.4854, 11.9542, 29.0041, 15.2817, 3.05198, 0, 0
85, 1800.00000, 20.2114, 24.3502, 11.9708, 31.1312, 16.2003, 0.65932, 0, 0
86, 0.00000, 22.0606, 18.8133, 15.7181, 31.619, 16.2135, 4.19915, 0, 0
86, 1800.00000, 19.513, 17.9931, 16.2444, 25.3873, 16.1196, 11.2154, 0, 0
87, 0.00000, 19.6113, 18.1682, 16.0962, 25.7938, 16.0771, 10.6639, 0, 0
87, 1800.00000, 22.4431, 22.0426, 17.3316, 23.0223, 20.0992, 9.72931, 0, 0
88, 0.00000, 20.5227, 25.0306, 17.9991, 14.8466, 22.2427, 14.5918, 0, 0
88, 1800.00000, 20.6473, 30.5209, 15.566, 11.9222, 23.274, 11.4605, 0, 0
89, 0.00000, 33.0078, 23.2106, 24.4486, 23.0568, 29.7521, 8.68809, 0, 0
89, 1800.00000, 42.9814, 19.7378, 31.2675, 29.26, 33.4279, 5.99645, 0, 0
90, 0.00000, 38.699, 20.4625, 31.7724, 22.8757, 34.5028, 11.5187, 0, 0
90, 1800.00000, 42.7192, 14.8531, 37.2863, 27.3036, 32.665, 12.3446, 0, 0
91, 0.00000, 43.2726, 16.3836, 36.283, 27.2073, 33.7402, 10.9457, 0, 0
